Source,Target,Effect,SE,|Effect|/SE,P_empirical,p.adjusted
D11MIT30,pQCT.fem.dens,0.803462109460658,0.0859077999285334,9.35260954335994,0,< 0.00323
D1Mit14,Tb.Th,0.596707762443419,0.0646744800118873,9.22632485539494,0,< 0.00323
D4Mit15,BV.CORTICAL,1.06564409550057,0.116646142389896,9.13569942106269,0,< 0.00323
D11MIT30,BV.TV,0.773860416026286,0.0857268005660848,9.0270535108765,0,< 0.00323
D1Mit540,Tb.Th,0.582913414700316,0.0646854722295301,9.01150435497951,0,< 0.00323
D1Mit14,pQCT.fem.dens,0.977827761814107,0.109358487990966,8.94148940587843,0,< 0.00323
D1Mit14,BV.TV.TRABECULAR,0.824768672311931,0.0947257929836635,8.70690702430088,0,< 0.00323
D4Mit170,BV.CORTICAL,1.03864247852681,0.121236447582897,8.56708109841823,0,< 0.00323
D1Mit540,pQCT.fem.dens,0.931811249704904,0.109261305434509,8.5282822312921,0,< 0.00323
D1Mit14,Tb.N,0.731586843042172,0.0863340474970142,8.47390877935467,0,< 0.00323
D1Mit540,BV.TV.TRABECULAR,0.800942651608252,0.0946477921650088,8.46234902354499,0,< 0.00323
D11MIT30,cort.thick,0.712812185271256,0.084550557246334,8.43060304374472,0,< 0.00323
D1Mit540,Tb.N,0.712758410379705,0.0862522856866185,8.26364663505125,0,< 0.00323
D4Mit15,STIFFNESS,0.877527099989377,0.106610642669846,8.23113976253683,0,< 0.00323
sex,pQCT.fem.dens,-0.62860629831913,0.0776120767504968,8.0993361424916,0,< 0.00323
D1Mit386,pQCT.fem.dens,0.913139164102907,0.114033768381221,8.00762069924965,0,< 0.00323
D8MIT75,cort.thick,0.641737778841488,0.0809133217509861,7.9311757934801,0,< 0.00323
D4Mit170,STIFFNESS,0.897275009877946,0.114063374550845,7.86646032007386,0,< 0.00323
D18Mit123,C.Th,0.777194304309583,0.0994434529005444,7.81543964575398,0,< 0.00323
D1Mit14,cort.thick,0.835379353443787,0.107847944099559,7.74589965917765,0,< 0.00323
D4Mit15,C.Th,0.864327078612386,0.111663107691461,7.74048919541654,0,< 0.00323
D18Mit147,C.Th,0.786506019503628,0.102196930552073,7.69598475467786,0,< 0.00323
D1Mit386,cort.thick,0.860645590487287,0.112236506083642,7.66814310707342,0,< 0.00323
D13Mit88,endo.c,-0.965417947358629,0.125988479421313,7.66274783053942,0,< 0.00323
D1Mit386,BV.TV,0.822621768748732,0.108187697649584,7.60365352642193,0,< 0.00323
D17MIT175,endo.c,-0.954098973923019,0.127901747317907,7.45962423446455,0,< 0.00323
D4Mit15,peri.c,0.81376417362281,0.109659854742977,7.42080295045187,0,< 0.00323
D4Mit15,BMD.g.cm2,0.793883877428486,0.107098050314719,7.4126828181799,0,< 0.00323
D17Mit20,endo.c,-0.82637612535187,0.112167748863447,7.36732379605748,0,< 0.00323
D14Mit75,Tb.N,0.621509724788638,0.0856530746631336,7.25612860055501,0,< 0.00323
D11Mit213,pQCT.fem.dens,0.62392932265356,0.0861279481479394,7.24421440508319,0,< 0.00323
D11Mit188,pQCT.fem.dens,0.764496867995242,0.106248541729212,7.1953633956093,0,< 0.00323
D17Mit39,endo.c,-0.885452685697761,0.123116540704614,7.19198801907679,0,< 0.00323
