Source,Target,Effect,SE,|Effect|/SE,P_empirical,p.adjusted
D11MIT30,pQCT.fem.dens,0.818047357437425,0.0848286086753309,9.64353147142118,0,0
D1Mit540,pQCT.fem.dens,1.02293218662581,0.107963592514909,9.47478833185871,0,0
D11MIT30,cort.thick,0.71644497161982,0.0757567978702062,9.457170732682,0,0
D1Mit14,pQCT.fem.dens,0.784067077169849,0.0832863769135057,9.41410956060816,0,0
sex,endo.c,0.747371442338335,0.0798645052907287,9.35799251016078,0,0
D11MIT30,BV.TV,0.773716732494603,0.0831566614588075,9.30432654367529,0,0
D1Mit540,cort.thick,0.689827391575191,0.0744342290729137,9.26760981025886,0,0
D1Mit14,cort.thick,0.689714044561928,0.074445595984175,9.26467221390156,0,0
D1Mit540,BV.TV,0.747794621957989,0.0816880806638883,9.15426847932498,0,0
D1Mit14,BV.TV,0.746291119560413,0.0817517353098395,9.12874958228062,0,0
D11MIT30,Tb.N,0.321854678144906,0.0377826819160258,8.51857681411411,0,0
D1Mit540,Tb.N,0.315264345951542,0.0370894938468415,8.5000983635259,0,0
D11MIT30,C.Th,0.637061569157144,0.0751778447692997,8.47406002542521,0,0
D1Mit540,C.Th,0.624422342069177,0.0737963242013013,8.46142878832123,0,0
D1Mit14,Tb.N,0.405701445628088,0.0479971544110046,8.45261454781308,0,0
D1Mit14,C.Th,0.804621755102244,0.0955028981762407,8.42510301223946,0,0
D1Mit386,pQCT.fem.dens,0.911527645178801,0.108377335350732,8.41068515136402,0,0
D4Mit15,Tb.Th,0.578677844581308,0.0689574253333592,8.39181338026789,0,0
D4Mit15,ROI.L2.4.BMD,0.365729099288848,0.0437141090992729,8.36638574649419,0,0
D4Mit15,BV.TV.TRABECULAR,0.499429596155495,0.0602780769705008,8.28542682939119,0,0
D4Mit15,BMD.g.cm2,0.841175760401935,0.102262094311599,8.22568485482823,0,0
D1Mit14,Final.IGF.1,0.37838360418272,0.0460616397878035,8.21472283500665,0,0
D1Mit540,Final.IGF.1,0.290862745704574,0.0355828998613079,8.17422826240341,0,0
D4Mit15,BV.CORTICAL,0.887168060008183,0.108825205773082,8.15222956580547,0,0
D11MIT30,Final.IGF.1,0.295373867540224,0.036256505042094,8.14678268623226,0,0
D1Mit386,cort.thick,0.778953247913105,0.0967475329789339,8.05140166295214,0,0
D4Mit15,Final.IGF.1,0.37070660572314,0.0466812475251484,7.94123176599833,0,0
D4Mit170,Tb.Th,0.556551939422786,0.0706983873610862,7.87220133579912,0,0
D4Mit170,ROI.L2.4.BMD,0.351403447799845,0.0448080967446449,7.84240959401701,0,0
D1Mit386,BV.TV,0.832003361785807,0.10617714173097,7.83599321117466,0,0
sex,pQCT.fem.dens,-0.603581987466438,0.0772603547329759,7.81231188431005,0,0
D4Mit15,C.Th,0.578603518851113,0.0743181033366777,7.78549899517631,0,0
D4Mit170,BMD.g.cm2,0.815774257862785,0.104967240000065,7.77170341777376,0,0
D4Mit15,Tb.N,0.290210398517922,0.0373734671626518,7.76514518320997,0,0
D4Mit170,BV.TV.TRABECULAR,0.478901087787077,0.0617568599758862,7.75462172095651,0,0
D4Mit170,BV.CORTICAL,0.86136691279548,0.111710000687737,7.71074127197668,0,0
